idx,question_id,answer_id
10,(Mengapa Allah mengharamkan Adam dan benda-bendaharanya) yakni apa-apa yang telah Dia karuniakan kepadanya berupa buah-buahan dan lain-lainnya (padahal Dia telah menjadikannya haram) telah dihalalkan bagi Adam dan telah dihalalkan-Nya (dan) Dia telah mengharamkan (atasnya) atas diri-Nya pula (kekuasaan di dalam surga) yaitu nikmat-nikmat-Nya yang telah dihalalkan bagi mereka. (Dan siapa yang menyimpang dari kebenaran) dari ketaatan (maka sesungguhnya Allah Maha Pengampun) terhadapnya (lagi Maha Penyayang) terhadapnya.,"Dan mereka akan memakan pohon zaqqum itu dan mereka akan mengatakan: ""Sesungguhnya kami (benar-benar) adalah orang-orang yang merugi."" Allah berfirman: ""Janganlah kamu berduka cita, sesungguhnya Aku beserta kamu, sesungguhnya Aku beserta kamu berdua termasuk orang-orang yang zalim."""
11,Kapan permusuhan antara manusia dan setan dimulai?,"Setelah Adam dan Hawa keluar dari surga, Kami berfirman kepada Adam dan Hawa, ""Turunlah kalian, sebagian menjadi musuh bagi yang lain. Di bumi, kalian akan menemukan ketenangan dan kesenangan sampai datangnya waktu yang telah ditentukan untuk kalian."
12,"(Maka betapakah) keadaan mereka (jika Allah telah menetapkan kepada manusia) lafal ayat ini berkedudukan menjadi Mubtada (suatu jalan) yakni jalan yang menuju kepada kekuasaan-Nya di dalam penciptaan alam ini (ketika Dia menjadikan mereka di muka bumi) lafal ayat ini menjadi Khabar dari Mubtada (sebagai balasan) lafal ayat ini menjadi Khabar dari Mubtada yang keberadaannya diperkirakan sebelumnya, yaitu lafal ayat ini berkedudukan menjadi Khabar dari Mubtada (dan Dia memberi balasan kepada mereka dengan balasan) lafal ayat ini menjadi Khabar yang kedua, maksudnya niscaya Dia mengazab mereka (dan memberi peringatan) azab-Nya (dengan ayat-ayat-Nya) yang menunjukkan akan kekuasaan-Nya.","(Kami berfirman, ""Turunlah kalian daripadanya"") maksudnya dari surga (semuanya) diulanginya dan dihubungkan-Nya dengan kalimat yang mula-mula tadi (kemudian jika) asalnya dari 'in maa' yang diidgamkan menjadi 'immaa' yang berarti jika; 'in' huruf syarat dan 'maa' sebagai tambahan. (datang petunjuk-Ku kepada kalian) berupa Kitab dan rasul, (maka barang siapa yang mengikuti petunjuk-Ku) lalu ia beriman kepada-Ku dan beramal serta taat kepada-Ku (niscaya tak ada kekhawatiran atas mereka dan tidak pula mereka berduka cita), yakni di akhirat kelak, karena mereka akan masuk surga."
13,Atas dasar apa Allah menyuruh kami untuk berbuat demikian dan memberikan karunia-Nya kepada siapa yang dikehendaki-Nya di antara hamba-hamba-Nya. Apakah kami harus memohon kepada-Nya agar Dia mengampuni dosa-dosa kami yang telah lalu?,"Maka bersabarlah kamu, hai Muhammad, dalam menghadapi ejekan dan permintaan mereka agar azab disegerakan, tanpa berkeluh-kesah. Orang-orang kafir itu sungguh menganggap hari kiamat itu mustahil terjadi."
14,"(Dan kaum Firaun, bagaimanakah) lafal A-immatan dapat pula dibaca Tahqiq dan Tas-hil (Kami jadikan bagi Bani Israel) sesudah Firaun dan kaumnya binasa (azab) yakni siksaan apa yang telah menimpa mereka (?)","Mereka menyembelih anak-anak lelakimu, lalu mereka anak-anak perempuanmu; dan pada yang demikian itu terdapat cobaan yang besar dari Tuhanmu."
15,"Mengapa kaum Musa itu tidak beriman kepada Allah dan percaya kepada-Nya? Apakah yang telah diwahyukan kepadanya (Muhammad) bahwa sesungguhnya mereka telah mendengar Al Quran dari Allah, padahal Al Quran itu benar-benar firman Allah.","Ingatlah ucapan kalian kepada Mûsâ, ""Kami tidak akan beriman sebelum kami melihat Allah secara jelas dengan mata kepala kami dan tidak terhalang oleh sesuatu apa pun."" Kemudian, petir dan api dari langit menyambar dan menggoncang kalian, sebagai akibat dari sikap membangkang, kelaliman dan permintaan kalian yang mustahil terjadi."
17,Apakah hukum Jahiliyah yang telah ditetapkan untuk membunuh anak sapi itu?,"(Dan dia bukanlah) yakni Nabi Muhammad saw. (ia) yakni Nabi Muhammad saw. (manusia tua) yakni orang tua (dan tidak pula muda) baik laki-laki atau wanita (yang masih kecil) dari kalangan kaum laki-laki atau wanita (dan tidak pula muda) yaitu anak-anak (dapat melihatnya) maksudnya, mereka adalah orang-orang yang tua dari kalangan kaum laki-laki (sebagai makanan) sebagaimana yang telah dijelaskan dalam surah Al-Qashash (yang dibuatnya tanah untuk kalian) lafal ayat ini menjadi Hal dari Dhamir yang terkandung di dalam lafal takhfif (lalu di atasnya) di sini lafal ayat ini menjadi Mubtada (dengan seizin Rabb kalian, yaitu berupa sungai-sungai) lafal ayat ini menjadi Khabar yang mengandung makna Bayan, sedangkan Khabarnya adalah Khabarnya ialah (tidak pernah) lafal ayat ini menjadi Khabar yang kedua (disediakan-Nya bagi kalian) lafal ayat ini menjadi Khabar yang kedua, yaitu lafal ayat ini berkedudukan menjadi Mubtada'al Ghaa; maksudnya, lafal ayat ini menjadi Khabarnya berkedudukan menjadi Khabarnya berkedudukan menjadi Hal atau kata keterangan keadaan; maksudnya, lafal A'al Ghaanaa; maksudnya, lafal A'in adalah lafal A'in menjadi Hal atau keterangan keadaan bagi lafal Atha'an menjadi Taubi'an menjadi Khabarnya berkedudukan menjadi Khabar."
18,Kapankah orang-orang Yahudi dan Nasrani akan puas dengan Nabi dan orang-orang Mukmin?,"(Jika) lafal immaa merupakan gabungan dari in syarthiah dan maa zaidah, kemudian keduanya diidgamkan sehingga jadilah immaa (kamu mengikut Nabi Muhammad) nabi (dengan petunjuk) dari kesesatan (dan tuntunan) agama (orang-orang mukmin) yang dimaksud adalah umat-umat terdahulu (maka tidak ada kewajiban bagimu terhadap mereka) karena sesungguhnya mereka adalah orang-orang yang berpura-pura beriman (sehingga kamu mengikuti agama mereka) dalam hal ini (sehingga kamu tidak mempunyai seorang pembela pun terhadap Allah) yang akan melindungimu (dan tidak pula seorang penolong pun.) yang dapat mencegah azab Allah atas orang-orang kafir."
19,Siapa yang mengangkat pondasi Rumah Suci?,"(Maka tatkala Ibrahim meninggikan dasar-dasar Baitullah dan Ismail) yakni Kakbah (Ibrahim berkata, ""Ya Tuhan kami! Terimalah dari kami) amal kami membina ini, (sesungguhnya Engkau Maha Mendengar) akan permohonan kami (lagi Maha Mengetahui) akan perbuatan kami."
20,"Salam sejahtera dan damai untuk Ibrâhîm, Ismâ'îl a. s. dan anak-anaknya, Ya'qûb, adalah anak Allah.","(Sesungguhnya Allah telah memilih agama ini bagimu) yakni agama Islam, (maka janganlah kamu mati kecuali dalam menganut agama Islam!"") Artinya ia melarang mereka meninggalkan agama Islam dan menyuruh mereka agar memegang teguh agama itu sampai nyawa berpisah dari badan."
21,"(Apakah orang-orang Yahudi dan Nasrani mengatakan) kepada Nabi saw., (""Sesungguhnya Allah telah memerintahkan kepada Rasul-Nya) yakni Nabi Muhammad saw. (untuk mengubah keadaan Ka'bah) yakni ke arah Ka'bah (dan) menjadikan (orang-orang yang masuk Islam itu) yakni orang-orang Yahudi (kepada mereka) melalui lisan Nabi saw. (apabila Allah menghendaki niscaya Allah akan memberi petunjuk kepada mereka) dengan hidangan itu (dan apa yang mereka perbuat."") terhadap diri mereka sendiri.","(Dan mereka berkata) yaitu orang-orang kafir Mekah, (""Mengapa tidak) kenapa tidak (diturunkan kepadanya) kepada Nabi Muhammad saw. (Nabi dan orang-orang mukmin?"") yakni orang-orang mukmin dari kalangan penduduk Mekah (""Apakah yang memalingkan mereka) dapat dibaca Tahqiq dan Tas-hil (dari arah kiblat) yakni dari agama Islam (yang mereka dapatidihan?"")"
22,"(Mengapa Allah menjadikan) mengapa Allah mensyariatkan (kaum Muhammad itu) yakni agama Islam, atau kaum musyrikin (suatu kaum) yakni kaum Nabi Muhammad saw. (yang mempunyai pilihan) atau kaum musyrikin (dan neraca) yaitu keadilan.","(Demikianlah) sebagaimana Kami telah membimbing kamu padanya. (Kami jadikan kamu) hai Muhammad (sebagai umat yang pertengahan) artinya sebagai umat yang adil dan pilihan, (agar kamu sekalian menjadi saksi terhadap umat manusia) pada hari kiamat bahwa rasul-rasul mereka telah menyampaikan risalah kepada mereka (dan agar rasul menjadi saksi terhadap kamu sekalian) bahwa ia telah menyampaikan risalahnya kepadamu."
24,"Dan apakah patut bagi orang-orang yang gugur di jalan Allah, sedang mereka tidak mati?","Dan janganlah kamu mengatakan terhadap orang-orang yang gugur di jalan Allah, (bahwa mereka itu) mati; bahkan (sebenarnya) mereka itu hidup, tetapi kamu tidak menyadarinya."
25,Bacalah di antara cobaan-cobaan yang telah Allah berikan kepada orang-orang yang beriman.,"(Sesungguhnya Kami akan menguji kalian) Kami akan menguji kalian (dengan rasa takut akan cobaan, kelaparan, jiwa dan buah-buahan. Dan berilah kabar gembira kepada orang-orang yang sabar) bahwa mereka akan menerima pahala dan selamat dari siksaan."
26,"(Q.S. Al-Maidah, 3). Dengan demikian berarti Istitsna di sini bersifat Munqathi'.","(Sesungguhnya Allah hanya mengharamkan atas kalian bangkai, darah, daging babi dan apa yang disembelih dengan menyebut nama selain Allah; tetapi barang siapa yang terpaksa memakannya dengan tidak menganiaya dan tidak pula melampaui batas, maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.)"
27,Bisakah kau mengingatkanku pada bukti tentang (Qatis di Qatli)?,"Hai orang-orang yang beriman, diwajibkan atas kamu qishaash berkenaan dengan orang-orang yang dibunuh; orang merdeka dengan orang merdeka, hamba dengan hamba, dan wanita dengan saudara perempuan; dan apabila kamu telah membayar zakatnya, maka (wajiblah atasnya) membayar fi'il dari Tuhanmu yang demikian itu adalah suatu keringanan dari Tuhanmu, dan barangsiapa yang melampaui batas sesudah itu, maka baginya siksa yang sangat pedih. Dan di dalam suatu qiraat dibaca nashab disebabkan menjadi zharaf, sedangkan menurut qiraat yang lain lafal yakhruuhu dengan memperkirakan adanya makna sebelumnya."
28,Apakah Allah Yang Mahaperkasa atas segala sesuatu lagi Mahabijaksana dalam setiap perbuatan dan pemeliharaan-Nya?,"Selain itu, Allah juga menghalalkan makanan kalian untuk mereka dan membolehkan kalian mengawini wanita-wanita yang menjaga kehormatannya di antara wanita-wanita Ahl al-Kitâb yang beriman, bila kalian membayar maskawin mereka dengan maksud mengawininya, dan bukan untuk melegalkan hubungan yang tidak sah (zina), atau supaya kalian bertakwa kepada Allah."
29,Siapakah yang diizinkan untuk berpuasa pada bulan Ramadan?,"(Dan orang-orang yang mengerjakan kejahatan) atau dosa yang mengenai orang-orang Yahudi yang sedang dalam perjalanan (dan dalam perjalanan) hingga akhir perjalanan (mereka berbilang) maksudnya orang-orang Yahudi dari kalangan Arab, Nasrani dan orang-orang Nasrani (bilangan hari-hari yang berlainan) maksudnya hari-hari yang penuh dengan penderitaan, (maka wajib bagi mereka berpuasa pada hari-hari yang ditentukan) yakni di Lohmahfuz (maka bagi mereka) yakni di Lohmahfuz (Allah Maha Mengetahui) akan makhluk-Nya (lagi Maha Bijaksana) mengenai pengaturan-Nya terhadap makhluk-Nya."
31,"(Allah telah mengharamkan berperang pada bulan-bulan) maksudnya pada bulan-bulan tersebut (yakni raja, Zulhijjah, Zulhijah dan Muharam) nama-nama mereka yang diharamkan oleh para sahabat, Nabi dan Nabi saw. (dan berjihad di bulan-bulan haram), maksudnya pada bulan-bulan haram seperti Zulkaidah, Zulhijah dan Rajab.","(Bulan haram), artinya bulan suci harus dibalas pula (dengan bulan haram), maksudnya sebagaimana mereka memerangi kamu pada bulan suci, perangilah pula mereka pada bulan itu sebagai sanggahan atas sikap kaum muslimin yang menghormati bulan suci (dan pada semua yang patut dihormati) jamak dari hurmatun (berlaku hukum kisas), maksudnya bila kehormatan itu dilanggar, maka hendaklah dibalas dengan perbuatan yang setimpal (Maka barang siapa yang menyerang kamu) dalam suatu pelanggaran di tanah suci, di waktu ihram atau di bulan-bulan haram, (maka seranglah pula dia dengan suatu serangan yang seimbang dengan serangan terhadap kamu). (Dan bertakwalah kepada Allah dan ketahuilah bahwa Allah beserta orang-orang yang bertakwa)."
32,"Ayat mana yang menunjukkan bahwa orang Quraisy biasa berdiri di Muzdalifah, bukan pada 'Arafat? 'Arafat adalah nama suatu kabilah 'Athaf Bayt al-Maqdis.",(Kemudian bertolaklah kamu) hai orang-orang Quraisy (dari tempat bertolaknya manusia) maksudnya dari Arafah dengan jalan wukuf bersama mereka. Sebelum itu biasanya mereka wukuf di Muzdalifah karena merasa enggan wukuf bersama-sama dengan orang lain.
33,(Apakah diturunkan) dapat dibaca Tahqiq dan Tas-hil (ayat-ayat Alkitab) yakni Alquran (tentang Umar) nama sebuah lembah yang terletak di negeri Yaman (ketika ia dianiaya) oleh orang-orang kafir (oleh orang-orang kafir) karena dimasukkan ke dalamnya (lalu dia berhijrah ke Madinah) yakni pergi meninggalkan negeri Syam dan negeri Syam dalam keadaan terbalik (dan tidak mau berjihad?) tidak mau berjihad.,Dan di antara manusia ada orang yang menafkahkan hartanya karena mencari keridhaan Allah; dan Allah Maha Penyantun kepada hamba-hamba-Nya.
34,Apakah boleh bagi seorang pria untuk mendekati istrinya selama masa haidnya?,"(Mereka bertanya kepadamu tentang haid), maksudnya haid atau tempatnya dan bagaimana memperlakukan wanita padanya. (Katakanlah, ""Hai wanita-wanitaku!"
35,"(Mengapa Allah akan menghukum kita, jika kita mengadakan sumpah palsu) dengan sumpah-sumpah itu (sesungguhnya kita telah mengucapkan) dengan memakai ya dan ta pada dua tempat lainnya sebagai celaan (""Demi Allah?"") artinya sumpah kita ini tidak benar belaka, karena sesungguhnya Allah telah menjanjikan kepada kita dengan janji yang sebenar-benarnya. (Dan Allah tidak akan menghukum kita disebabkan sumpah-Nya) disebabkan sumpah yang kita buat-buat itu.","Allah tidak akan menghukum kita karena sumpah yang tidak disengaja, tetapi Ia akan meminta pertanggungjawaban atas apa yang kita ucapkan dalam hati kita."
36,Apa masa penantian untuk perceraian?,(Demikian itu) maksudnya hukum yang telah disebutkan tadi berupa kewajiban menyembelih kurban atau berpuasa bagi orang yang mengerjakan haji secara tamatu (adalah bagi orang-orang yang beriman kepada Allah dan hari yang akhir. Dan suami-suami mereka) (lebih berhak untuk merujuknya) atau mengembalikan mereka (pada masa itu) hadirat wanita-wanita yang di waktu haid.
37,Berapa banyak janda yang ada?,"(yaitu) empat bulan sepuluh hari (yaitu) lalu orang-orang yang meninggal dunia di antara kamu dan meninggalkan isteri-isteri mereka, kemudian mereka tidak menunggu-nunggu selama empat bulan dan sepuluh hari."
38,"Siapakah orang-orang yang meninggalkan rumah mereka karena takut mati, dan mereka ribuan?","(Adapun mereka adalah umat Israel, maka mereka telah ditimpa azab) yakni siksaan (maka mereka lari ke belakang, kemudian Allah berfirman kepada mereka, ""Matilah kamu,"") hingga mereka pun mati, (kemudian mereka dihidupkan-Nya kembali), yakni setelah delapan hari, atas doa Nabi Musa yang telah disebutkan tadi, yaitu setelah terlebih dahulu diangkat menjadi hidup kembali. (Demikian itu), yakni seperti yang telah disebutkan tadi (dikatakan kepada orang-orang yang mendustakan) Alquran (di dalam Alquran) sebagaimana yang telah diungkapkan oleh firman-Nya yang lain, yaitu, ""Ya Rabb kami, kami beroleh petunjuk."""
39,Bagaimana kisah Nimrod dalam Al Quran?,"Apakah kamu tidak memperhatikan orang yang mendebat Ibrahim tentang Tuhannya (Allah) dan berkata: ""Aku akan memberi kekayaan dan kerajaan kepadamu."" Maka tatkala Ibrahim berkata: ""Tuhanku ialah Yang menghidupkan dan mematikan,"" orang itu berkata: ""Saya dapat menghidupkan dan mematikan."""
40,(Apakah) telah (datang kepadamu berita hari kiamat) hari kiamat dinamakan hari yang menutupi karena pada hari itu semua makhluk diselimuti oleh kengerian-kengeriannya.,"(Apakah kamu tidak memperhatikan) apakah kamu memperhatikan (seorang laki-laki yang lewat di suatu negeri) yang dimaksud adalah Nabi Hud (yang telah roboh menutupi atap-atapnya) atap-atap rumah yang temboknya roboh menutupi atap-atapnya (dan ia berkata,) kepada mereka (""Bagaimana Allah menghidupkan kembali negeri ini setelah robohnya?"") Dhamir yang ada pada lafal Huwa-ihim lebih memprioritaskan manusia yang telah mati. (Maka tatkala dia melihat makanan-makanan dan minuman itu) dari langit (ia berkata, ""Saya yakin bahwa Allah Maha Kuasa atas segala sesuatu."")."
41,"Nabi Ibrahim sengaja mengulang-ulang perkataannya itu supaya diterima oleh Allah, akan tetapi Allah tidak mau menerimanya.","(Dan) ingatlah (ketika Ibrahim berkata, ""Ya Rabbku! Perlihatkanlah kepadaku bagaimana Engkau menghidupkan orang mati."""
42,"(Mengapa Allah akan melipatgandakan) lebih banyak dari itu lagi (bagimu) daripada kamu, hai orang-orang yang beriman (sebanyak tujuh ratus kali lipat amalan-amalanmu) karena kamu pasti akan mendapatkannya (dan kamu tidak akan dapat memberi manfaat kepada orang-orang yang telah beriman) berkat amal-amal perbuatan mereka (sedikit pun?"") karena jumlah mereka ada tujuh ratus kali lipat, sedangkan menurut suatu qiraat dengan memakai Tasydid sehingga bacaannya menjadi harakat Tasydid serta Lafal Nashil. (Dan Allah, Allah, Dialah Yang Maha Perkasa) di dalam kerajaan-Nya (lagi Maha Bijaksana) di dalam perbuatan-Nya.","(Perumpamaan) atau sifat nafkah dari (orang-orang yang membelanjakan harta mereka di jalan Allah) artinya dalam menaati-Nya (adalah seperti sebutir biji yang menumbuhkan tujuh buah tangkai, pada masing-masing tangkai seratus biji.) Demikianlah pula halnya nafkah yang mereka keluarkan itu menjadi 700 kali lipat."
43,"Bacalah ayat yang menjelaskan, yaitu: ""Sesungguhnya zakat itu mengampuni dosa dan perbuatan yang keji.""","Dan jika kamu menyembunyikannya dan kamu berikan kepada orang-orang fakir, maka menyembunyikan itu lebih baik bagimu. Dan Allah Maha Mengetahui apa yang kamu kerjakan."
44,"(Dan jika) lafal immaa ini asalnya terdiri dari in syarthiyah dan maa zaidah yang digabungkan menjadi satu (orang yang buta itu melihat) orang yang buta (atau menutupkan bajunya kepada mereka) sehingga mereka tidak dapat melihatnya, berbeda dengan orang yang buta itu (niscaya Allah akan mengazab mereka) membinasakan mereka (pada hari kiamat, tidak ada naungan) dapat dibaca nashab dan yusyrikuna (selain Dia, maka bacalah ayat-ayat-Nya) Alquran (dan bacalah ayat-ayat Alquran yang memberi manfaat) dari Alquran, karena nasihat dan nasihatnya itu bermanfaat bagi orang-orang Mukmin.",(Jika ia) yakni yang terbunuh (dalam kesukaran) seperti sakit dan paceklik (maka wajib atasnya berpuasa dua bulan berturut-turut) sebagaimana telah diterangkan di dalam hadis sahih Bukhari dan Muslim (Allah menghendaki kemudahan bagimu) artinya kemudahan bagimu dalam berbukanya (dan Dia menghendaki kemudahan bagimu) artinya pahala-Nya (dan supaya kamu bersyukur) kepada-Nya atas nikmat-Nya yang telah dilimpahkan kepadamu.
45,"(Dan diwahyukan kepadaku, bahwasanya) dhamir yang terdapat pada lafal annahu adalah dhamir sya'n (apabila diturunkan ayat itu) yakni Alquran (kepada orang-orang yang beriman) kepada Alquran (lalu mereka berbantah-bantahan di antara mereka) yakni, mereka saling berbantah-bantahan dan saling berbantah-bantahan di antara sesama mereka (dan mereka menemukan) yakni orang-orang kafir (suatu pertanggungjawaban) yaitu tentang nasib mereka, hari berbangkit dan lain-lainnya (yang sulit) yang dimaksud adalah hari berbangkit.","(Dan Allah Maha Kuasa atas segala sesuatu), di antaranya melakukan hisab atas perhitungan terhadapmu dan memberikan balasannya."
46,"(Dan apabila diturunkan suatu ayat) yakni Alquran (kepada orang-orang yang beriman) kepada Alquran (lalu orang-orang yang membantahnya) seperti Abdullah bin Salam dan teman-temannya (dan merasa berat) orang-orang mukmin (tentang apa yang telah diturunkan kepadanya, maka orang-orang yang kamu dustakan terhadap ayat-ayat itu) seperti Abdullah bin Salam dan lain-lainnya (dan mereka telah mengetahui) bahwasanya ayat-ayat itu benar-benar telah diturunkan kepada Nabi saw. (apa) yang dimaksud adalah azab (yang di waktu Alquran itu telah turun) di dunia tentang masalah hukum-hukum perang Badar.","Ya Tuhan kami, janganlah Engkau pikulkan kepada kami apa yang tak sanggup kami memikulnya dan janganlah Engkau bebankan kepada kami apa yang tidak sanggup kami memikulnya. Ampunilah kami dengan rahmat-Mu meliputi segala sesuatu."
47,"Apakah yang dikehendaki oleh Allah itu) apa yang dikehendaki-Nya (oleh fitrah itu) untuk menerima pembalasan yang baik, yaitu diberi pahala dari apa yang telah diberikan oleh Allah kepada mereka di dunia dan siksa yang di akhirat? Tentu saja tidak.","(Dijadikan indah pada pandangan manusia kecintaan kepada syahwat) yakni segala yang disenangi serta diingini nafsu sebagai cobaan dari Allah atau tipu daya dari setan (yaitu wanita-wanita, anak-anak, emas, perak, kuda-kuda, sapi, ternak dan sawah ladang) sebagaimana yang telah disebutkan tadi."
48,Apakah (patut) agama yang benar di sisi Allah?,(Sesungguhnya agama) yang diridai (di sisi Allah) ialah agama (Islam) yakni syariat yang dibawa oleh para rasul dan dibina atas dasar ketauhidan.
49,"Ayat mana yang disingkapkan ketika Nabi Muhammad telah berjanji umma nya kerajaan Persia dan Roma, dan orang-orang munafik berkata: ""Mustahillah.""","(Sesungguhnya Engkau Maha Kuasa atas segala sesuatu."") dan daripada-Nyalah datang kemenangan atau terhalangnya kemenangan itu; dan kamu mendapat balasan daripada-Nya disebabkan pelanggaran terhadap perintah Rasul-Mu. (Sesungguhnya Engkau Maha Kuasa atas segala sesuatu.)"
50,"Dan (ingatlah), ketika diturunkan ayat (kepada orang-orang musyrikin itu), mereka berkata: ""Kami hanya menyembah berhala-berhala yang kami sembah selain Allah.""",(Dan Allah Maha Pengampun) kepada mereka atas kesalahan-kesalahan mereka di masa lalu sebelum mereka masuk Islam (lagi Maha Penyayang) terhadap mereka.
