q_id|q_src_id|quetion_type|chapter_no|verse|answer_en|class_en|fine_class_en|ontology_concept2_en|ontology_concept_en|q_topic_en|q_word_en|question_en|chapter_name_en|verse_list|context|context_data|answer_en_id|class_en_id|fine_class_en_id|ontology_concept2_en_id
378|378|F|10|37|Indeed, this Quran has been sent down as a confirmation of the scriptures that Allah, the Exalted, had sent down to His messengers, for Allah's religion is one.|Description|Meaning||The Quran|But the truth is in his hands|Not|What is the meaning of 'but a confirmation of what was before it' in Surah Yunus, verse 37?|Jonah|[37]|"Quran Surah 10 Ayah 37:
This Qur’An Is Not Such As Could Be Devised Without (The Revelation Of) Allah. Rather, (It) Validates Those (Books) Which Have Been (Revealed) Before It, And Is An Exposition Of Whatever (Allah) Has Written (On The Tablet Or In The Commandments Of Shariah). There Is Not Even An Iota Of Doubt In Its (Veracity). It Is From The Lord Of All The Worlds."|"[{""index"": 404, ""q_src_id"": 378, ""surah"": 10, ""ayah"": 37, ""ayah_en"": ""This Qur\u2019An Is Not Such As Could Be Devised Without (The Revelation Of) Allah. Rather, (It) Validates Those (Books) Which Have Been (Revealed) Before It, And Is An Exposition Of Whatever (Allah) Has Written (On The Tablet Or In The Commandments Of Shariah). There Is Not Even An Iota Of Doubt In Its (Veracity). It Is From The Lord Of All The Worlds.""}]"|(Sesungguhnya Alquran ini diwahyukan kepada Rasul-rasul-Nya) yakni Alquran (sebagai bukti) hujah (bahwasanya Allah Yang Maha Perkasa) di dalam kerajaan-Nya (lagi Maha Bijaksana) di dalam perbuatan-Nya.|Deskripsi|Artinya|- Ya.
379|379|F|10|38|Or do they say, 'He invented it'? Say, 'Then bring a surah like it, and call upon whomever you can besides Allah, if you are truthful.'|Entity|Verse|Verse|Text|Challenge of the Infidels|Remind|Recite the verse that challenges the disbelievers to bring forth a surah like this noble Quran.|Jonah|[38]|"Quran Surah 10 Ayah 38:
Do They Say: ‘The Messenger Has Fabricated It Himself’? Say: ‘Then Bring Forth Any (One) Sura (Chapter) Like It, And Call On (For Your Help) All You Can Besides Allah If You Are Truthful.’"|"[{""index"": 405, ""q_src_id"": 379, ""surah"": 10, ""ayah"": 38, ""ayah_en"": ""Do They Say: \u2018The Messenger Has Fabricated It Himself\u2019? Say: \u2018Then Bring Forth Any (One) Sura (Chapter) Like It, And Call On (For Your Help) All You Can Besides Allah If You Are Truthful.\u2019""}]"|"(Bahkan) akan tetapi apakah (mereka mengatakan, ""Muhammad telah membuat-buatnya"") yakni Alquran itu (Katakanlah, ""Kalau demikian, maka datangkanlah sebuah surah semisal dengannya) dalam masalah kefasihan bahasa dan ketinggian paramasastranya (dan panggillah) untuk membantu dalam (siapa-siapa yang dapat kalian panggil selain Allah) selain daripada Allah (jika kalian orang-orang yang benar"") bahwasanya Alquran itu adalah buatan belaka, niscaya kalian tidak akan mampu melakukannya."|Entitas|Ayat|Ayat
380|380|F|10|49|Say, 'I have no power to cause harm or bring benefit to myself except as Allah wills. For every nation, there is an appointed time. When their time comes, they cannot delay it by an hour, nor can they hasten it.' (Yunus 49)|Entity|Verse|Verse|Text|The Harmful and the Beneficial|Remember|Quote a verse from the Quran that states 'Allah is the One who causes harm and the One who brings benefit'.|Jonah|[49]|"Quran Surah 10 Ayah 49:
Say: ‘I Am No Master Of Any Loss Or Profit For My Own Self Except What Allah May Will. A Term Is (Appointed) For Every Umma (Community). When Their (Appointed) Term Comes, They Can Neither Stay Behind Nor Advance By A Single Moment.’"|"[{""index"": 406, ""q_src_id"": 380, ""surah"": 10, ""ayah"": 49, ""ayah_en"": ""Say: \u2018I Am No Master Of Any Loss Or Profit For My Own Self Except What Allah May Will. A Term Is (Appointed) For Every Umma (Community). When Their (Appointed) Term Comes, They Can Neither Stay Behind Nor Advance By A Single Moment.\u2019""}]"|"Katakanlah: ""Aku tidak berkuasa mendatangkan kemudharatan dan tidak (pula) kemanfaatan kepada diriku, melainkan apa yang dikehendaki Allah."" Tiap-tiap umat mempunyai ajal."|Entitas|Ayat|Ayat
381|381|F|10|57|This is the Quran, the noble book of Allah.|Description|Meaning|Word|meaning of the word|Sermon|No|What is the meaning of (mova'tha) in the verse of Yunus (Jonah) 57?|Jonah|[57]|"Quran Surah 10 Ayah 57:
O Mankind! Surely, There Has Come To You An Admonition From Your Lord, And A Cure For All Those (Diseases) Which Are (Hidden) In The Breasts. And It Is Guidance And Mercy (Too) For Those Who Are Blessed With Faith."|"[{""index"": 407, ""q_src_id"": 381, ""surah"": 10, ""ayah"": 57, ""ayah_en"": ""O Mankind! Surely, There Has Come To You An Admonition From Your Lord, And A Cure For All Those (Diseases) Which Are (Hidden) In The Breasts. And It Is Guidance And Mercy (Too) For Those Who Are Blessed With Faith.""}]"|(Sesungguhnya ini) yakni yang dibacakan kepada kalian (adalah Alquran yang sangat mulia).|Deskripsi|Artinya|Kata
382|382|F|10|58|The grace of Allah is Islam, and His mercy is the Holy Quran.|Description|Explanation|The Quran|The favor of Allah|God's grace|Not|What is the 'fadl' (favor) of Allah and what is His 'rahma' (mercy) in this verse (10:58)?|Jonah|[58]|"Quran Surah 10 Ayah 58:
Say: ‘(All This) Is Due To The Bounty And Mercy Of Allah (Bestowed Upon You Through Raising Muhammad [Blessings And Peace Be Upon Him] As The Exalted Messenger). So The Muslims Should Rejoice Over It. This Is Far Better Than (All That Affluence And Wealth) That They Amass.’"|"[{""index"": 408, ""q_src_id"": 382, ""surah"": 10, ""ayah"": 58, ""ayah_en"": ""Say: \u2018(All This) Is Due To The Bounty And Mercy Of Allah (Bestowed Upon You Through Raising Muhammad [Blessings And Peace Be Upon Him] As The Exalted Messenger). So The Muslims Should Rejoice Over It. This Is Far Better Than (All That Affluence And Wealth) That They Amass.\u2019""}]"|(Sebagai karunia dari Allah) lafal Fadhlan adalah Mashdar yang dinashabkan oleh Fi'ilnya yang keberadaannya diperkirakan sebelumnya, yaitu lafal Afdhala (dan rahmat-Nya) yaitu Alquran (itulah yang tinggi.)|Deskripsi|Penjelasan|Al-Qur'an
383|383|F|10|62,63|They are those who believed in Allah and followed His Messenger and the Scripture that came to him from Allah, and they were in awe of Allah, obeying His commands and avoiding His prohibitions. Indeed, the allies of Allah have no fear, nor do they grieve.|Reasonable|People|God'S Protection Is For The Believers|God's Friends|God's chosen ones|From||Jonah|[62 63]|"Quran Surah 10 Ayah 62:
Beware! Verily, The Friends Of Allah Will Not Have Any Fear, Nor Will They Grieve.

Quran Surah 10 Ayah 63:
(They) Are The People Who Believe And (Always) Remain Godfearing, Committed To Piety."|"[{""index"": 409, ""q_src_id"": 383, ""surah"": 10, ""ayah"": 62, ""ayah_en"": ""Beware! Verily, The Friends Of Allah Will Not Have Any Fear, Nor Will They Grieve.""}, {""index"": 409, ""q_src_id"": 383, ""surah"": 10, ""ayah"": 63, ""ayah_en"": ""(They) Are The People Who Believe And (Always) Remain Godfearing, Committed To Piety.""}]"|(Sesungguhnya orang-orang yang beriman) yakni orang-orang yang benar-benar beriman, sebagaimana yang telah diterangkan sebelumnya (kepada Allah dan Rasul-Nya dan kepada kitab yang diturunkan kepadanya) yakni Alquran (mereka takut kepada Allah) mereka takut kepada-Nya (dan takut kepada-Nya) merasa takut kepada azab-Nya (dan mereka taat kepada perintah-perintah-Nya) yakni perintah-perintah-Nya (dan mereka berpaling dari larangan-Nya) dari mendurhakai-Nya. (Sesungguhnya tidak ada kekhawatiran terhadap mereka dan tidak pula mereka bersedih hati) karena mereka takut kepada azab Allah.|Masuk akal|Orang|Perlindungan Allah bagi Orang - Orang yang Percaya
384|384|F|10|64|God, the Exalted, has promised these friends (awliya) in this world what will please them, and in the hereafter, paradise. God does not break His promise or change it. That is the great success, as it encompasses safety from all dangers and victory in all beloved desires. They have good news in this life and the hereafter. There is no change in the words of God. That is the great success.|Entity|Reward|God'S Will For The Believers||Good news for the friends of God|What|What has Allah (SWT) prepared for His righteous allies?|Jonah|[64]|"Quran Surah 10 Ayah 64:
There Is For Them The Good News (Of Honour And Recognition) In The Life Of The World, And (Also Of Forgiveness And Intercession) In The Hereafter. (Or There Are Blessed Spiritual Visions In This World In The Form Of Pious Dreams, And In The Hereafter In The Shape Of Effulgent Disclosures Of Allah’S Absolute Beauty And Sight.) The Commands Of Allah Never Change. That Is The Colossal Achievement."|"[{""index"": 410, ""q_src_id"": 384, ""surah"": 10, ""ayah"": 64, ""ayah_en"": ""There Is For Them The Good News (Of Honour And Recognition) In The Life Of The World, And (Also Of Forgiveness And Intercession) In The Hereafter. (Or There Are Blessed Spiritual Visions In This World In The Form Of Pious Dreams, And In The Hereafter In The Shape Of Effulgent Disclosures Of Allah\u2019S Absolute Beauty And Sight.) The Commands Of Allah Never Change. That Is The Colossal Achievement.""}]"|(Allah Yang Maha Perkasa) Maha Menang atas semua perkara-Nya (lagi Maha Kuasa) tiada sesuatu pun yang dapat menghalang-halangi kehendak-Nya. (Yang demikian itu) hal yang telah disebutkan itu (adalah kemenangan yang besar).|Entitas|Hadiah|Kehendak Allah bagi Orang - Orang yang Percaya
385|385|F|10|87|Make your homes places where you seek refuge when you are afraid.|Description|Meaning|Word|meaning of the word|And make your houses a place of worship|No|What is the meaning of 'WAJ'ALU BAYTIKUM QIBLATA' in verse 87 of Surah Yunus?|Jonah|[87]|"Quran Surah 10 Ayah 87:
And We Sent Revelation To Musa (Moses) And His Brother: ‘Prepare Some Houses For Your People In (The Land Of) Egypt, And Build These (Houses) Facing The Qibla (Direction For Offering Prayer), And (Then) Establish Prayer And Give The Believers Glad Tidings (Of Victory And Help).’"|"[{""index"": 411, ""q_src_id"": 385, ""surah"": 10, ""ayah"": 87, ""ayah_en"": ""And We Sent Revelation To Musa (Moses) And His Brother: \u2018Prepare Some Houses For Your People In (The Land Of) Egypt, And Build These (Houses) Facing The Qibla (Direction For Offering Prayer), And (Then) Establish Prayer And Give The Believers Glad Tidings (Of Victory And Help).\u2019""}]"|Jadikanlah tempat perlindungan kalian, hai orang-orang Mukmin, sebagai tempat perlindungan kalian. Janganlah kalian merasa takut kecuali kepada Allah karena kalian berada dalam kekufuran dan kemaksiatan yang kalian lakukan.|Deskripsi|Artinya|Kata
386|386|F|10|88|And it was said, 'Let their wealth be covered over, so they cannot benefit from it, and let their hearts be sealed, so they will not be open to faith, until they see the severe, painful torment.' And Moses said, 'Our Lord, indeed You have bestowed upon Pharaoh and his establishment adornment and wealth in the worldly life, our Lord, that they may lead astray from Your way. Our Lord, destroy their wealth and harden their hearts so they will not believe until they see the painful torment.' - Jonah 88|Description|Say|Pharaoh|Moses|Moses's Prayer|What|What was the supplication of Moses (peace be upon him) against Pharaoh and his people?|Jonah|[88]|"Quran Surah 10 Ayah 88:
And Musa (Moses) Said: ‘O Our Lord, Surely You Have Provided Pharaoh And His Chiefs With The Means Of Embellishment And (Abundance Of) Riches In The Life Of The World. O Our Lord, (Have You Given Them All This) In Order That They Turn (The People) Away From Your Path (Sometimes By Tempting And Sometimes By Terrifying Them)? O Our Lord, Destroy Their Riches And Make Their Hearts (So) Callous That Even Then They May Not Believe Until They See The Grievous Torment.’"|"[{""index"": 412, ""q_src_id"": 386, ""surah"": 10, ""ayah"": 88, ""ayah_en"": ""And Musa (Moses) Said: \u2018O Our Lord, Surely You Have Provided Pharaoh And His Chiefs With The Means Of Embellishment And (Abundance Of) Riches In The Life Of The World. O Our Lord, (Have You Given Them All This) In Order That They Turn (The People) Away From Your Path (Sometimes By Tempting And Sometimes By Terrifying Them)? O Our Lord, Destroy Their Riches And Make Their Hearts (So) Callous That Even Then They May Not Believe Until They See The Grievous Torment.\u2019""}]"|"Berkata Musa: ""Ya Tuhan kami, sesungguhnya Engkau telah memberi kepada Fir'aun dan pemuka-pemuka kaumnya perhiasan dan harta kekayaan dalam kehidupan dunia, maka mereka tidak beriman hingga mereka melihat siksaan yang pedih, maka mereka tetap tidak beriman, hingga mereka melihat siksaan yang pedih."""|Deskripsi|Katakanlah|Firaun
387|387|F|10|89|Because Aaron, peace be upon him, used to lead the prayer for Moses, peace be upon him.|Description|Reason||Moses and Aaron|Your call was answered|Why|Why did Allah say (qad ujibiat da'watukuma) 'Your prayer has been answered' when it was Moses, peace be upon him, who was making the supplication?|Jonah|[89]|"Quran Surah 10 Ayah 89:
(Allah) Said: ‘The Prayer Of You Both Has Indeed Been Granted. So Remain Steadfast, Both Of You, And Follow Not The Path Of Those Who Do Not Possess Knowledge.’"|"[{""index"": 413, ""q_src_id"": 387, ""surah"": 10, ""ayah"": 89, ""ayah_en"": ""(Allah) Said: \u2018The Prayer Of You Both Has Indeed Been Granted. So Remain Steadfast, Both Of You, And Follow Not The Path Of Those Who Do Not Possess Knowledge.\u2019""}]"|Karena Harun, kedamaian berada di atasnya, digunakan untuk memimpin doa bagi Musa, perdamaian ada di atasnya.|Deskripsi|Alasan|- Ya.
388|388|F|10|92|God saved Pharaoh with his body after he drowned in the sea and placed him on a high land to be seen by those who denied his fate, as a lesson for those who come after. Today, we save you with your body, so that you may be a sign for those who come after, for many among mankind are heedless of Our signs.|Entity|Verse|Verse|Text|Pharaoh's Drowning|No|What is the verse of Allah (Exalted is He) about Pharaoh after he was drowned in the sea?|Jonah|[92]|"Quran Surah 10 Ayah 92:
(O Pharaoh!) We Shall Today Preserve Your (Lifeless) Body So That You May Become A Sign (Of Warning) For Those Who Come After You. Indeed, Most Of The People Are Neglectful (In Understanding) Our Signs.’"|"[{""index"": 414, ""q_src_id"": 388, ""surah"": 10, ""ayah"": 92, ""ayah_en"": ""(O Pharaoh!) We Shall Today Preserve Your (Lifeless) Body So That You May Become A Sign (Of Warning) For Those Who Come After You. Indeed, Most Of The People Are Neglectful (In Understanding) Our Signs.\u2019""}]"|Maka Allah menyelamatkan Fir'aun dengan (bahtera) nya, sesudah dia tenggelam di laut dan Dia menjadikan dia (Musa) di daratan yang tinggi, untuk jadi pelajaran bagi orang-orang yang mendustakan (ayat-ayat Allah) sesudah itu, bagi mereka yang mendustakan ayat-ayat Kami. Dan pada hari ini Kami selamatkan badanmu, agar kamu dapat menjadi pelajaran bagi orang-orang yang datang kemudian; dan sesungguhnya kebanyakan manusia benar-benar lalai dari tanda-tanda kekuasaan Kami.|Entitas|Ayat|Ayat
389|389|F|10|93|Indeed, We have bestowed upon the Children of Israel a good settlement and chosen land in the lands of Sham and Egypt.|Description|Meaning|Word|meaning of the word|I am|No|And indeed, We settled the children of Israel in a beautiful settled place, and We provided them with good things. They did not differ until the knowledge came to them. Indeed, your Lord will judge between them on the Day of Resurrection concerning that over which they used to differ. (Yunus 93) What is the meaning of 'And indeed, We settled the children of Israel in a beautiful settled place with truth'?|Jonah|[93]|"Quran Surah 10 Ayah 93:
And We Indeed Provided The Children Of Israel With A Worthy Place To Dwell In And With Pure And Clean Sustenance. They Did Not Differ In Anything, Until Knowledge And Insight Reached Them. Your Lord Will Surely Judge Amongst Them On The Day Of Resurrection In The Matters Wherein They Used To Differ."|"[{""index"": 415, ""q_src_id"": 389, ""surah"": 10, ""ayah"": 93, ""ayah_en"": ""And We Indeed Provided The Children Of Israel With A Worthy Place To Dwell In And With Pure And Clean Sustenance. They Did Not Differ In Anything, Until Knowledge And Insight Reached Them. Your Lord Will Surely Judge Amongst Them On The Day Of Resurrection In The Matters Wherein They Used To Differ.""}]"|Sesungguhnya Kami telah menempatkan Bani Israil di ternpat kediaman yang baik dan negeri yang indah.|Deskripsi|Artinya|Kata
390|390|F|10|98|It was a town to which the people of Jonah (peace be upon him) belonged. If only it had been a town that believed, then salvation would have been theirs through their faith, except for the people of Jonah. When they believed, We removed from them the disgrace of the life of this world and continued to let them enjoy for a while.|Site|Village|The Vanished People|The people of Yunus|A village that survived the tribulation|When, Not, From|What is the village that Allah (SWT) saved from His punishment when they showed sincerity in their repentance?|Jonah|[98]|"Quran Surah 10 Ayah 98:
Then Why Has There Not Been Any Town, Except (The Town Of) The People Of Yunus (Jonah), That Believed And Its Belief Brought It Profit? When (The People Of Yunus [Jonah]) Believed (Just Seeing The Sign Of Torment Before It Was Sent Down), We Removed From Them The Punishment Of Humiliation (Even) In The Life Of The World And We Let Them Avail The Profit For A Time."|"[{""index"": 416, ""q_src_id"": 390, ""surah"": 10, ""ayah"": 98, ""ayah_en"": ""Then Why Has There Not Been Any Town, Except (The Town Of) The People Of Yunus (Jonah), That Believed And Its Belief Brought It Profit? When (The People Of Yunus [Jonah]) Believed (Just Seeing The Sign Of Torment Before It Was Sent Down), We Removed From Them The Punishment Of Humiliation (Even) In The Life Of The World And We Let Them Avail The Profit For A Time.""}]"|(Dan sesungguhnya kota itu) yakni kota kaum Nabi Luth (benar-benar tempat yang aman) tidak ada tumbuh-tumbuhan padanya, dan mereka menduga bahwa kota itu adalah kota kaum Nabi Luth (dan kalau sekiranya ada suatu kota) yang aman dari kaum Nabi Syuaib (yang beriman, tentulah mereka telah dibinasakan) dengan azab (disebabkan kekafiran mereka) oleh sebab kedustaan mereka (kecuali) kecuali (kaum Yunus. Maka tatkala mereka telah beriman, Kami hilangkan) Kami lenyapkan (dari mereka kehinaan di dunia) kemusyrikan dan kedurhakaan (dan Kami beri kesenangan kepada mereka sampai pada waktu yang tertentu) sampai pada ajal mereka tiba.|Situs|Desa|Orang - Orang yang Lenyap
391|391|F|10|104,105,106|In the oneness of worship for Allah alone, with no partner or associate.|Entity|Sermon|||Keep your face|What|What do these noble verses indicate, O Yunus?|Jonah|[104 105 106]|"Quran Surah 10 Ayah 104:
Say: ‘O People, If You Are In Any Doubt About (The Authenticity Of) My Din (Religion), Then (Listen) That I Cannot Worship Those (Idols) Whom You Worship Besides Allah. But I Worship That Allah Who Causes You To Die. And I Have Been Commanded That I Must (Always) Be From Amongst The Believers;

Quran Surah 10 Ayah 105:
And That, Guarding Against Every Falsehood, (With Focused Attention,) Keep Your Direction Towards The Din (Religion) And Never Be Of Those Who Associate Partners With Allah.’

Quran Surah 10 Ayah 106:
(This Command Is Being Communicated To The Umma [Community] Through The Messenger:) ‘Nor Worship Those (Idols) Besides Allah, Which Can Neither Profit Nor Harm You. Then If You Do It, You Will Surely Be Amongst The Wrongdoers The Same Moment.’"|"[{""index"": 417, ""q_src_id"": 391, ""surah"": 10, ""ayah"": 104, ""ayah_en"": ""Say: \u2018O People, If You Are In Any Doubt About (The Authenticity Of) My Din (Religion), Then (Listen) That I Cannot Worship Those (Idols) Whom You Worship Besides Allah. But I Worship That Allah Who Causes You To Die. And I Have Been Commanded That I Must (Always) Be From Amongst The Believers;""}, {""index"": 417, ""q_src_id"": 391, ""surah"": 10, ""ayah"": 105, ""ayah_en"": ""And That, Guarding Against Every Falsehood, (With Focused Attention,) Keep Your Direction Towards The Din (Religion) And Never Be Of Those Who Associate Partners With Allah.\u2019""}, {""index"": 417, ""q_src_id"": 391, ""surah"": 10, ""ayah"": 106, ""ayah_en"": ""(This Command Is Being Communicated To The Umma [Community] Through The Messenger:) \u2018Nor Worship Those (Idols) Besides Allah, Which Can Neither Profit Nor Harm You. Then If You Do It, You Will Surely Be Amongst The Wrongdoers The Same Moment.\u2019""}]"|Sembahlah Allah) artinya esakanlah Dia (sekali-kali tidak ada bagi kalian sekutu bagi-Nya) yang dapat memberikan syafaat kepada kalian.|Entitas|Khotbah|- Ya.
392|392|D|11|5|These polytheists harbor disbelief in their hearts, thinking that Allah is unaware of what they conceal in their minds. Do they not know that when they cover their bodies with clothes, Allah is not unaware of their secrets and their open actions? Indeed, He is All-Aware of everything that their breasts conceal of intentions, thoughts, and secrets.|Description|Explanation|Verse|Tafsir|Ayah|Interpret|Is it not that they cover their breasts to hide from Him? But when they wrap themselves in their clothes, He knows what they conceal and what they reveal, for He is All-Knowing of the secrets of the heart. (Quran 11:5, Tafsir)|Hûd|[5]|"Quran Surah 11 Ayah 5:
Bear In Mind! These (Disbelievers) Fold Up Their Breasts So That They May Hide (The State Of Their Hearts) From Him (Allah). Beware! When They Cover (Their Bodies) With Their Clothes, (Even Then) He Knows All Those Matters Which They Hide And Which They Lay Open. Surely, He Knows Best (The Secrets Of) The Hearts."|"[{""index"": 418, ""q_src_id"": 392, ""surah"": 11, ""ayah"": 5, ""ayah_en"": ""Bear In Mind! These (Disbelievers) Fold Up Their Breasts So That They May Hide (The State Of Their Hearts) From Him (Allah). Beware! When They Cover (Their Bodies) With Their Clothes, (Even Then) He Knows All Those Matters Which They Hide And Which They Lay Open. Surely, He Knows Best (The Secrets Of) The Hearts.""}]"|(Sesungguhnya Allah Maha Mengetahui segala isi hati) mengetahui apa yang terkandung di dalam kalbu.|Deskripsi|Penjelasan|Ayat
393|393|F|11|9,10,11|If we grant humans from us a blessing of health, safety, or other things, then take it away, they become greatly despairing of Allah's mercy, denying the blessings He has bestowed upon them. And if we expand their provision in this world after hardship, they say, 'The hardship has gone, the calamities have ceased,' they become arrogant and boastful. But those who patiently endure the hardships that have befallen them, with faith in Allah and seeking reward from Him, and do righteous deeds out of gratitude to Him, it is they who will have forgiveness of their sins and a great reward.|Description|Description|Forgiveness|Despair and Hopelessness|Human condition|Is There|What is the state of a person if their circumstances change from prosperity to adversity and vice versa? And are all humans alike in this regard?|Hûd|[ 9 10 11]|"Quran Surah 11 Ayah 9:
And If We Make Man Taste Mercy From Us, Then Withdraw It From Him (For Some Reason), He Becomes Highly Disappointed (And) Ungrateful.

Quran Surah 11 Ayah 10:
And If We Make Him Taste (Some) Favour After The Suffering That Afflicted Him, Then He Is Sure To Say: ‘Gone Are All My Troubles.’ Surely, He (Becomes) Most Exultant And Boastful,

Quran Surah 11 Ayah 11:
Except For Those Who Remain Steadfast And Continue Doing Pious Deeds. For Them Is Forgiveness And Great Reward."|"[{""index"": 419, ""q_src_id"": 393, ""surah"": 11, ""ayah"": 9, ""ayah_en"": ""And If We Make Man Taste Mercy From Us, Then Withdraw It From Him (For Some Reason), He Becomes Highly Disappointed (And) Ungrateful.""}, {""index"": 419, ""q_src_id"": 393, ""surah"": 11, ""ayah"": 10, ""ayah_en"": ""And If We Make Him Taste (Some) Favour After The Suffering That Afflicted Him, Then He Is Sure To Say: \u2018Gone Are All My Troubles.\u2019 Surely, He (Becomes) Most Exultant And Boastful,""}, {""index"": 419, ""q_src_id"": 393, ""surah"": 11, ""ayah"": 11, ""ayah_en"": ""Except For Those Who Remain Steadfast And Continue Doing Pious Deeds. For Them Is Forgiveness And Great Reward.""}]"|"(Dan sungguh jika) huruf Lamnya menunjukkan makna Qasam (Kami tambahkan kepada manusia) yakni kepada orang-orang kafir (sesudah Kami berikan kepadanya nikmat) yakni sesudah Kami anugerahkan kepada mereka sebagai nikmat dari Kami (yang telah Kami berikan kepada mereka) yaitu berupa air hujan dan tumbuh-tumbuhan (atau Kami matikan) dengan dibaca takhfif dan tasydid (kepada mereka) dengan dibaca takhfif dan tasydid (apa yang Kami anugerahkan kepada mereka) berupa rezeki (dalam kehidupan di dunia) berupa tumbuh-tumbuhan dan lain sebagainya (dan jika Kami tambahkan kepada mereka) Kami berikan kepada mereka (nikmat) yakni nikmat (niscaya mereka akan berkata, ""Muhammad telah hilang bencana itu) telah hilang (dari mereka dan tentulah orang-orang yang sabar"") orang-orang yang melakukan kemusyrikan."|Deskripsi|Deskripsi|Pengampunan
394|394|D|11|15,16|Those who seek only worldly life and its pleasures, we give them their full reward in this life, but in the hereafter, they will have nothing but the fire of hell, and their deeds will be of no avail, for they were not done for the sake of Allah.|Description|Explanation|Verse|Tafsir|Verse||Explain the verses: 'And whoever desires the life of this world and its adornment, We shall fully recompense him for his deeds therein, and they will not be deprived of their due reward. These are they for whom there is nothing in the Hereafter but the Fire, and futile are the deeds they did therein, and worthless is what they used to do.' (Hud: 15-16)|Hûd|[15 16]|"Quran Surah 11 Ayah 15:
Those Who Lust After The Worldly Life (Only) With Its Beauty (And Embellishment), We Pay Them Back In Full For Their Works Here In This World, And Their (Worldly Recompense) Is Not Diminished In The Least.

Quran Surah 11 Ayah 16:
They Are The People For Whom There Is No (Share) In The Hereafter Except The Fire (Of Hell). And (As For Reward In The Hereafter) All (The Works) They Did In The World Have Come To Nothing, And (All That) They Used To Do Is Null And Void (Because Their Account Is Cleared By Paying Them In Full Measure In The Life Of The World, And Nothing Remains In Their Balance For The Hereafter)."|"[{""index"": 420, ""q_src_id"": 394, ""surah"": 11, ""ayah"": 15, ""ayah_en"": ""Those Who Lust After The Worldly Life (Only) With Its Beauty (And Embellishment), We Pay Them Back In Full For Their Works Here In This World, And Their (Worldly Recompense) Is Not Diminished In The Least.""}, {""index"": 420, ""q_src_id"": 394, ""surah"": 11, ""ayah"": 16, ""ayah_en"": ""They Are The People For Whom There Is No (Share) In The Hereafter Except The Fire (Of Hell). And (As For Reward In The Hereafter) All (The Works) They Did In The World Have Come To Nothing, And (All That) They Used To Do Is Null And Void (Because Their Account Is Cleared By Paying Them In Full Measure In The Life Of The World, And Nothing Remains In Their Balance For The Hereafter).""}]"|(Barang siapa yang menghendaki kehidupan dunia dan perhiasannya) seumpamanya ia tetap bersikeras dalam kemusyrikannya.|Deskripsi|Penjelasan|Ayat
395|395|F|11|18|They are angels, prophets, and others.|Wise|People|Angels|The Prophets|The Witnesses|From|Who are 'the witnesses' (الأَشْهَادُ) mentioned in the verse?|Hûd|[18]|"Quran Surah 11 Ayah 18:
And Who Can Be A Greater Wrongdoer Than The One Who Fabricates A Lie Against Allah? Such People Will Be Brought Before Their Lord And The Witnesses Will Say: ‘These Are The Ones Who Foisted A Lie Upon Their Lord.’ Know That Allah’S Curse Is Upon The Wrongdoers—"|"[{""index"": 421, ""q_src_id"": 395, ""surah"": 11, ""ayah"": 18, ""ayah_en"": ""And Who Can Be A Greater Wrongdoer Than The One Who Fabricates A Lie Against Allah? Such People Will Be Brought Before Their Lord And The Witnesses Will Say: \u2018These Are The Ones Who Foisted A Lie Upon Their Lord.\u2019 Know That Allah\u2019S Curse Is Upon The Wrongdoers\u2014""}]"|Mereka adalah malaikat, nabi, dan lainnya.|Wise|Orang|Malaikat
396|396|F|11|23|Obey Allah in all that you have been commanded and forbidden.|Description|Meaning|Word|meaning of the word|I have been informed|No|What is the meaning of (وَأَخْبَتُواْ إِلَى رَبِّهِمْ) in verse 23 of Hud?|Hûd|[23]|"Quran Surah 11 Ayah 23:
Verily, Those Who Believe And Persist In Pious Works And Humble Themselves Before Their Lord, It Is They Who Are The People Of Paradise. They Will Live There Forever."|"[{""index"": 422, ""q_src_id"": 396, ""surah"": 11, ""ayah"": 23, ""ayah_en"": ""Verily, Those Who Believe And Persist In Pious Works And Humble Themselves Before Their Lord, It Is They Who Are The People Of Paradise. They Will Live There Forever.""}]"|Taatlah kepada Allah apa yang telah dihalalkan kepadamu dan apa yang dilarang.|Deskripsi|Artinya|Kata
