|question_en|answer_en|question_id|answer_id
13|What are the two great things that Allah (SWT) has commanded us to seek help in?|Patience and prayer. And the evidence: 'And seek help through patience and prayer, and indeed, it is difficult except for the humble.' (2:45) [Al-Baqarah]|Atas dasar apa Allah menyuruh kami untuk berbuat demikian dan memberikan karunia-Nya kepada siapa yang dikehendaki-Nya di antara hamba-hamba-Nya. Apakah kami harus memohon kepada-Nya agar Dia mengampuni dosa-dosa kami yang telah lalu?|Maka bersabarlah kamu, hai Muhammad, dalam menghadapi ejekan dan permintaan mereka agar azab disegerakan, tanpa berkeluh-kesah. Orang-orang kafir itu sungguh menganggap hari kiamat itu mustahil terjadi.
14|What was the torment of Pharaoh's people for the Children of Israel?|They used to slaughter your sons and take your daughters alive. And in that was a great trial from your Lord.|(Dan kaum Firaun, bagaimanakah) lafal A-immatan dapat pula dibaca Tahqiq dan Tas-hil (Kami jadikan bagi Bani Israel) sesudah Firaun dan kaumnya binasa (azab) yakni siksaan apa yang telah menimpa mereka (?)|Mereka menyembelih anak-anak lelakimu, lalu mereka anak-anak perempuanmu; dan pada yang demikian itu terdapat cobaan yang besar dari Tuhanmu.
15|What was the condition that the people of Moses (peace be upon him) had to fulfill to believe that the words they heard from him (peace be upon him) were the words of God?|And when you said, 'O Moses, we will not believe in you until we see Allah openly,' the thunderbolt struck you while you were looking.|Mengapa kaum Musa itu tidak beriman kepada Allah dan percaya kepada-Nya? Apakah yang telah diwahyukan kepadanya (Muhammad) bahwa sesungguhnya mereka telah mendengar Al Quran dari Allah, padahal Al Quran itu benar-benar firman Allah.|"Ingatlah ucapan kalian kepada Mûsâ, ""Kami tidak akan beriman sebelum kami melihat Allah secara jelas dengan mata kepala kami dan tidak terhalang oleh sesuatu apa pun."" Kemudian, petir dan api dari langit menyambar dan menggoncang kalian, sebagai akibat dari sikap membangkang, kelaliman dan permintaan kalian yang mustahil terjadi."
16||And when you said, 'O Moses, we will not believe in you until we see Allah openly,' the thunderbolt took you while you were looking (55). Then We revived you after your death, so that you might be grateful (56). And We shaded you with clouds and sent down to you Manna and Salwa, 'Eat of the good things We have provided for you,' and they did not wrong Us, but they wronged themselves (57). Al-Baqarah.|- Ya.|"Dan (ingatlah), ketika kamu berkata: ""Hai Musa, kami tidak akan beriman kepadamu sebelum kami melihat Allah dengan terang, karena itu kamu disambar halilintar, sedang kamu menyaksikannya."" Maka Kami bangkitkan kamu sesudah kamu mati, supaya kamu bersyukur (kepada Kami), dan Kami turunkan kepadamu manna dan salwa; dan Kami tidak menganiaya mereka, akan tetapi merekalah yang menganiaya diri mereka sendiri."
17|What are the qualities of the cow that Allah commanded the Children of Israel to slaughter?|She is not an old cow nor a young one, very yellow, delightful to look at, not barren in tilling the land and farming, not prepared for watering from a water wheel, and free from defects. They said, 'Invoke for us your Lord to make it clear to us what it is.' He said, 'He says,|Apakah hukum Jahiliyah yang telah ditetapkan untuk membunuh anak sapi itu?|(Dan dia bukanlah) yakni Nabi Muhammad saw. (ia) yakni Nabi Muhammad saw. (manusia tua) yakni orang tua (dan tidak pula muda) baik laki-laki atau wanita (yang masih kecil) dari kalangan kaum laki-laki atau wanita (dan tidak pula muda) yaitu anak-anak (dapat melihatnya) maksudnya, mereka adalah orang-orang yang tua dari kalangan kaum laki-laki (sebagai makanan) sebagaimana yang telah dijelaskan dalam surah Al-Qashash (yang dibuatnya tanah untuk kalian) lafal ayat ini menjadi Hal dari Dhamir yang terkandung di dalam lafal takhfif (lalu di atasnya) di sini lafal ayat ini menjadi Mubtada (dengan seizin Rabb kalian, yaitu berupa sungai-sungai) lafal ayat ini menjadi Khabar yang mengandung makna Bayan, sedangkan Khabarnya adalah Khabarnya ialah (tidak pernah) lafal ayat ini menjadi Khabar yang kedua (disediakan-Nya bagi kalian) lafal ayat ini menjadi Khabar yang kedua, yaitu lafal ayat ini berkedudukan menjadi Mubtada'al Ghaa; maksudnya, lafal ayat ini menjadi Khabarnya berkedudukan menjadi Khabarnya berkedudukan menjadi Hal atau kata keterangan keadaan; maksudnya, lafal A'al Ghaanaa; maksudnya, lafal A'in adalah lafal A'in menjadi Hal atau keterangan keadaan bagi lafal Atha'an menjadi Taubi'an menjadi Khabarnya berkedudukan menjadi Khabar.
18|When will the Jews and Christians be satisfied with the Prophet and the Muslims?|If you follow the Prophet Muhammad (peace be upon him) and his path, and the Muslims follow their path. The evidence for this is: 'And you will never be satisfied, O Muhammad, until you follow their religion.' (Say), 'Indeed, Allah's guidance is the true guidance.' And if you were to follow their desires after the knowledge that has come to you, then you would have no protector or helper from Allah.' (2:120)|Kapankah orang-orang Yahudi dan Nasrani akan puas dengan Nabi dan orang-orang Mukmin?|(Jika) lafal immaa merupakan gabungan dari in syarthiah dan maa zaidah, kemudian keduanya diidgamkan sehingga jadilah immaa (kamu mengikut Nabi Muhammad) nabi (dengan petunjuk) dari kesesatan (dan tuntunan) agama (orang-orang mukmin) yang dimaksud adalah umat-umat terdahulu (maka tidak ada kewajiban bagimu terhadap mereka) karena sesungguhnya mereka adalah orang-orang yang berpura-pura beriman (sehingga kamu mengikuti agama mereka) dalam hal ini (sehingga kamu tidak mempunyai seorang pembela pun terhadap Allah) yang akan melindungimu (dan tidak pula seorang penolong pun.) yang dapat mencegah azab Allah atas orang-orang kafir.
19|Who raised the foundations of the Holy House (the Kaaba)?|Ibrahim and his son Ismail, peace be upon them. And the evidence is: 'And when Ibrahim raised the foundations of the House and Ismail, 'Our Lord, accept from us, indeed You are the Hearing, the Knowing.' (2:127) Al-Baqarah.|Siapa yang mengangkat pondasi Rumah Suci?|"(Maka tatkala Ibrahim meninggikan dasar-dasar Baitullah dan Ismail) yakni Kakbah (Ibrahim berkata, ""Ya Tuhan kami! Terimalah dari kami) amal kami membina ini, (sesungguhnya Engkau Maha Mendengar) akan permohonan kami (lagi Maha Mengetahui) akan perbuatan kami."
20|What was the testament of Ibrahim (peace be upon him) to his children, and what was the testament of Ya'qub (peace be upon him) to his children?|And they die while they are Muslims. And the evidence is: 'And Abraham instructed his sons [to do so] and [he also instructed] Jacob: 'O my sons! Allah has chosen for you the religion, so do not die except while you are Muslims.' [2:132] The Cow.|Salam sejahtera dan damai untuk Ibrâhîm, Ismâ'îl a. s. dan anak-anaknya, Ya'qûb, adalah anak Allah.|"(Sesungguhnya Allah telah memilih agama ini bagimu) yakni agama Islam, (maka janganlah kamu mati kecuali dalam menganut agama Islam!"") Artinya ia melarang mereka meninggalkan agama Islam dan menyuruh mereka agar memegang teguh agama itu sampai nyawa berpisah dari badan."
21|What did the foolish Jews and Christians say when Allah commanded His Prophet (peace be upon him) to change the Qibla to the Kaaba? And what was Allah's response to them?|They said: 'What caused the Prophet (PBUH) and the believers to change their Qibla (direction of prayer) from what they were on to the direction of Jerusalem? And Allah's response was (Say: To Allah belongs the East and the West). The evidence is: 'The foolish among the people will say, 'What has turned them from their Qibla which they were facing?' Say: 'To Allah belongs the East and the West; He guides whom He will to a Straight Path.' (2:142)|"(Apakah orang-orang Yahudi dan Nasrani mengatakan) kepada Nabi saw., (""Sesungguhnya Allah telah memerintahkan kepada Rasul-Nya) yakni Nabi Muhammad saw. (untuk mengubah keadaan Ka'bah) yakni ke arah Ka'bah (dan) menjadikan (orang-orang yang masuk Islam itu) yakni orang-orang Yahudi (kepada mereka) melalui lisan Nabi saw. (apabila Allah menghendaki niscaya Allah akan memberi petunjuk kepada mereka) dengan hidangan itu (dan apa yang mereka perbuat."") terhadap diri mereka sendiri."|"(Dan mereka berkata) yaitu orang-orang kafir Mekah, (""Mengapa tidak) kenapa tidak (diturunkan kepadanya) kepada Nabi Muhammad saw. (Nabi dan orang-orang mukmin?"") yakni orang-orang mukmin dari kalangan penduduk Mekah (""Apakah yang memalingkan mereka) dapat dibaca Tahqiq dan Tas-hil (dari arah kiblat) yakni dari agama Islam (yang mereka dapatidihan?"")"
22|Why did Allah (SWT) make the nation of Muhammad (PBUH) a middle nation, a nation of choice and balance? And why was the Qibla changed?|Thus, We have made you a justly balanced nation that you may be witnesses over the people and the Messenger may be a witness over you. And We have appointed the Qiblah which you used to face only to distinguish those who follow the Messenger from those who turn on their heels. And indeed, it was not except a great matter except for those whom Allah has guided. And Allah would not have let your faith go to waste. Indeed, Allah is, over the people, Kind and Merciful.|(Mengapa Allah menjadikan) mengapa Allah mensyariatkan (kaum Muhammad itu) yakni agama Islam, atau kaum musyrikin (suatu kaum) yakni kaum Nabi Muhammad saw. (yang mempunyai pilihan) atau kaum musyrikin (dan neraca) yaitu keadilan.|(Demikianlah) sebagaimana Kami telah membimbing kamu padanya. (Kami jadikan kamu) hai Muhammad (sebagai umat yang pertengahan) artinya sebagai umat yang adil dan pilihan, (agar kamu sekalian menjadi saksi terhadap umat manusia) pada hari kiamat bahwa rasul-rasul mereka telah menyampaikan risalah kepada mereka (dan agar rasul menjadi saksi terhadap kamu sekalian) bahwa ia telah menyampaikan risalahnya kepadamu.
23||Those to whom We have given the Scripture recognize it as they recognize their own sons, but there is a group among them who conceal the truth while they know it.|- Ya.|(Orang-orang yang telah Kami berikan kitab kepadanya mereka mengenalnya) artinya mengenal Muhammad dengan sifat-sifat atau ciri-cirinya yang terdapat di dalam Kitab mereka (seperti mereka mengenal anak-anak sendiri. Dan di antara mereka) maksudnya orang-orang Yahudi dan Nasrani (ada segolongan yang menyembunyikan kebenaran) yaitu yang menyangkut ciri-ciri Nabi Muhammad saw. (sedangkan mereka mengetahui) bahwa ia benar adanya.
24|What is the evidence that those who were killed in the way of Allah are alive and not dead?|And do not say of those who are killed in the way of Allah, 'They are dead.' Rather, they are alive, but you are not aware.|Dan apakah patut bagi orang-orang yang gugur di jalan Allah, sedang mereka tidak mati?|Dan janganlah kamu mengatakan terhadap orang-orang yang gugur di jalan Allah, (bahwa mereka itu) mati; bahkan (sebenarnya) mereka itu hidup, tetapi kamu tidak menyadarinya.
25|Recite some of the trials that Allah (Exalted is He) has put the believers through.|Fear - Hunger - Lack of money - Death - Disease - Destruction of crops. And the evidence: 'And We will certainly put you to test with fear and hunger and loss of property and lives and crops. But give glad tidings to the steadfast.' (2:155) - The Cow.|Bacalah di antara cobaan-cobaan yang telah Allah berikan kepada orang-orang yang beriman.|(Sesungguhnya Kami akan menguji kalian) Kami akan menguji kalian (dengan rasa takut akan cobaan, kelaparan, jiwa dan buah-buahan. Dan berilah kabar gembira kepada orang-orang yang sabar) bahwa mereka akan menerima pahala dan selamat dari siksaan.
26|What are the foods that Allah (SWT) has forbidden for people?|God has forbidden for you the carrion, blood, pork, and that which is slaughtered in the name of other than Allah. And for one who is forced [to eat these] without being willful or transgressing, there is no sin upon him. Indeed, Allah is Forgiving and Merciful.|(Q.S. Al-Maidah, 3). Dengan demikian berarti Istitsna di sini bersifat Munqathi'.|(Sesungguhnya Allah hanya mengharamkan atas kalian bangkai, darah, daging babi dan apa yang disembelih dengan menyebut nama selain Allah; tetapi barang siapa yang terpaksa memakannya dengan tidak menganiaya dan tidak pula melampaui batas, maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.)
27|Can you remind me of the evidence regarding (Qisas in Qatli)?|O you who believe, the law of equality is prescribed to you in cases of murder: the free for the free, the slave for the slave, and the female for the female. But if any remission is made by the next of kin, an equitable compensation should be made. This is an alleviation from your Lord and a mercy. But if anyone transgresses after this, he shall have a painful punishment. And there is for you in the law of equality life-saving, O you who understand, that you may become righteous.|Bisakah kau mengingatkanku pada bukti tentang (Qatis di Qatli)?|Hai orang-orang yang beriman, diwajibkan atas kamu qishaash berkenaan dengan orang-orang yang dibunuh; orang merdeka dengan orang merdeka, hamba dengan hamba, dan wanita dengan saudara perempuan; dan apabila kamu telah membayar zakatnya, maka (wajiblah atasnya) membayar fi'il dari Tuhanmu yang demikian itu adalah suatu keringanan dari Tuhanmu, dan barangsiapa yang melampaui batas sesudah itu, maka baginya siksa yang sangat pedih. Dan di dalam suatu qiraat dibaca nashab disebabkan menjadi zharaf, sedangkan menurut qiraat yang lain lafal yakhruuhu dengan memperkirakan adanya makna sebelumnya.
28|Did Allah, the Exalted, ordain fasting upon the previous nations for us?|Yes, and the evidence is: 'O you who believe, fasting is prescribed for you as it was prescribed for those before you, so that you may become righteous.' (2:183)|Apakah Allah Yang Mahaperkasa atas segala sesuatu lagi Mahabijaksana dalam setiap perbuatan dan pemeliharaan-Nya?|Selain itu, Allah juga menghalalkan makanan kalian untuk mereka dan membolehkan kalian mengawini wanita-wanita yang menjaga kehormatannya di antara wanita-wanita Ahl al-Kitâb yang beriman, bila kalian membayar maskawin mereka dengan maksud mengawininya, dan bukan untuk melegalkan hubungan yang tidak sah (zina), atau supaya kalian bertakwa kepada Allah.
29|Who are the people allowed to fast during the month of Ramadan?|And for those who are ill or on a journey, the prescribed number of other days [to compensate for fasting missed] is Allah's ordinance. Allah is All-Knowing, All-Wise.|Siapakah yang diizinkan untuk berpuasa pada bulan Ramadan?|(Dan orang-orang yang mengerjakan kejahatan) atau dosa yang mengenai orang-orang Yahudi yang sedang dalam perjalanan (dan dalam perjalanan) hingga akhir perjalanan (mereka berbilang) maksudnya orang-orang Yahudi dari kalangan Arab, Nasrani dan orang-orang Nasrani (bilangan hari-hari yang berlainan) maksudnya hari-hari yang penuh dengan penderitaan, (maka wajib bagi mereka berpuasa pada hari-hari yang ditentukan) yakni di Lohmahfuz (maka bagi mereka) yakni di Lohmahfuz (Allah Maha Mengetahui) akan makhluk-Nya (lagi Maha Bijaksana) mengenai pengaturan-Nya terhadap makhluk-Nya.
30||In the month of Ramadan. The evidence is: 'The month of Ramadan, in which the Quran was sent down as a guidance to the people and clear proofs of guidance and a criterion. So whoever is present at the month of Ramadan, he shall fast it. And whoever is ill or on a journey, the same number of other days [to make up]. Allah intends for you ease and does not intend for you hardship and [wants] to complete the period and to exalt Allah [in His] having guided you, and perhaps you will be grateful.' (2:185)|- Ya.|Maka barangsiapa yang hadir menyaksikan bulan Ramadan dalam keadaan sehat dan tidak sedang dalam perjalanan, maka ia wajib berpuasa. Tetapi barangsiapa yang sakit, dan puasa akan membahayakan dirinya, atau sedang dalam perjalanan, ia diperbolehkan tidak berpuasa tapi tetap diwajibkan mengganti puasa yang ditinggalkan itu pada hari yang lain.
31|God has sanctified fighting during the sacred months of Rajab, Dhu al-Qi'dah, Dhu al-Hijjah, and Muharram. However, if Muslims are attacked during these months, should they fight back or not? What is the evidence for this?|Yes, it is obligatory for Muslims to fight in the sacred months if they are attacked. The evidence for this is: 'The sacred month is for the sacred month, and the sacred things are to be repaid in kind. So if anyone attacks you, attack him in the same way that he attacked you, and be mindful of Allah, and know that Allah is with those who are mindful of Him.' (Quran 2:194)|(Allah telah mengharamkan berperang pada bulan-bulan) maksudnya pada bulan-bulan tersebut (yakni raja, Zulhijjah, Zulhijah dan Muharam) nama-nama mereka yang diharamkan oleh para sahabat, Nabi dan Nabi saw. (dan berjihad di bulan-bulan haram), maksudnya pada bulan-bulan haram seperti Zulkaidah, Zulhijah dan Rajab.|(Bulan haram), artinya bulan suci harus dibalas pula (dengan bulan haram), maksudnya sebagaimana mereka memerangi kamu pada bulan suci, perangilah pula mereka pada bulan itu sebagai sanggahan atas sikap kaum muslimin yang menghormati bulan suci (dan pada semua yang patut dihormati) jamak dari hurmatun (berlaku hukum kisas), maksudnya bila kehormatan itu dilanggar, maka hendaklah dibalas dengan perbuatan yang setimpal (Maka barang siapa yang menyerang kamu) dalam suatu pelanggaran di tanah suci, di waktu ihram atau di bulan-bulan haram, (maka seranglah pula dia dengan suatu serangan yang seimbang dengan serangan terhadap kamu). (Dan bertakwalah kepada Allah dan ketahuilah bahwa Allah beserta orang-orang yang bertakwa).
32|What verse indicates that the Quraysh used to stand at Muzdalifah instead of Arafat, raising the stand with the people on the day of Hajj, and Allah revealed something to guide them to stand with the people at Arafat?|Then depart from where the people have departed, and seek forgiveness from Allah. Indeed, Allah is Forgiving and Merciful.|Ayat mana yang menunjukkan bahwa orang Quraisy biasa berdiri di Muzdalifah, bukan pada 'Arafat? 'Arafat adalah nama suatu kabilah 'Athaf Bayt al-Maqdis.|(Kemudian bertolaklah kamu) hai orang-orang Quraisy (dari tempat bertolaknya manusia) maksudnya dari Arafah dengan jalan wukuf bersama mereka. Sebelum itu biasanya mereka wukuf di Muzdalifah karena merasa enggan wukuf bersama-sama dengan orang lain.
